影片中文名,影片外国名,评分,评价数,概况,导演,主演,年份,地区,类别
七武士,七人の侍,9.1,64570,时代悲歌,导演:黑泽明 Akira Kurosawa,主演:三船敏郎 Toshir Mifune / 志村乔 ,1954,日本,动作 冒险 剧情
穿条纹睡衣的男孩,The Boy in the Striped Pajamas,8.8,113307,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作,导演:马克·赫门 Mark Herman,主演:阿沙·巴特菲尔德 Asa Butterfield / ,2008,英国 美国,剧情 战争
怪兽电力公司,"Monsters, Inc.",8.6,205566,不要给它起名字，起了名字就有感情了,导演:彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,主演:约,2001,美国,喜剧 动画 儿童 奇幻
穿越时空的少女,時をかける少女,8.6,162669,爱上未来的你,导演:细田守 Mamoru Hosoda,主演:仲里依纱 Riisa Naka / 石田卓也 Takuya,2006,日本,剧情 爱情 科幻 动画
魂断蓝桥,Waterloo Bridge,8.8,115868,中国式内在的美国电影,导演:Mervyn LeRoy,主演:Vivien Leigh / Robert Taylor / Lucile Watson,1940,美国,剧情 战争 爱情
杀人回忆,살인의 추억,8.6,175739,关于连环杀人悬案的集体回忆,导演:奉俊昊 Joon-ho Bong,主演:宋康昊 Kang-ho Song / 金相庆 Sang-kyun,2003,韩国,犯罪 剧情 悬疑 惊悚
恐怖直播,더 테러 라이브,8.7,174478,恐怖分子的“秋菊打官司”,导演:金秉祐 Byeong-woo Kim,主演:河正宇 Jung-woo Ha / 李璟荣 Kyeong-y,2013,韩国,剧情 犯罪 悬疑
恋恋笔记本,The Notebook,8.5,238957,爱情没有那么多借口，如果不能圆满，只能说明爱的不够,导演:尼克·卡索维茨 Nick Cassavetes,主演:瑞恩·高斯林 Ryan Gosling /,2004,美国,剧情 爱情
消失的爱人,Gone Girl,8.7,296318, ,导演:大卫·芬奇 David Fincher,主演:本·阿弗莱克 Ben Affleck / 罗莎蒙,2014,美国,剧情 犯罪 悬疑 惊悚
猜火车,Trainspotting,8.5,216268,不可猜的青春迷笛,导演:丹尼·鲍尔 Danny Boyle,主演:伊万·麦克格雷格 Ewan McGregor / 艾,1996,英国,犯罪 剧情
卢旺达饭店,Hotel Rwanda,8.8,101698,当这个世界闭上双眼，他却敞开了怀抱,导演:特瑞·乔治 Terry George,主演:唐·钱德尔 Don Cheadle / 苏菲·奥,2004,英国 南非 意大利 美国,剧情 历史 战争
黑天鹅,Black Swan,8.5,371458,黑暗之美,导演:达伦·阿罗诺夫斯基 Darren Aronofsky,主演:娜塔丽·波曼 Natalie P,2010,美国,剧情 惊悚
红辣椒,パプリカ,8.8,102557,梦的勾结,导演:今敏 Satoshi Kon,主演:林原惠美 Megumi Hayashibara / 古谷彻 T,2006,日本,动画 悬疑 科幻 惊悚
傲慢与偏见,Pride & Prejudice,8.4,259910,爱是摈弃傲慢与偏见之后的曙光,导演:乔·怀特 Joe Wright,主演:凯拉·奈特莉 Keira Knightley / 马修·,2005,法国 英国 美国,剧情 爱情
教父3,The Godfather: Part III,8.7,111596,任何信念的力量，都无法改变命运,导演:弗朗西斯·福特·科波拉 Francis Ford Coppola,主演:阿尔·帕西诺 A,1990,美国,剧情 犯罪
英雄本色, ,8.7,125044,英雄泪短，兄弟情长,导演:吴宇森 John Woo,主演:周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国,1986,香港,动作 犯罪
完美的世界,A Perfect World,9.0,67389,坏人的好总是比好人的好来得更感人,导演:克林特·伊斯特伍德 Clint Eastwood,主演:凯文·科斯特纳 Kevin Cos,1993,美国,剧情 犯罪
玩具总动员3,Toy Story 3,8.7,174302,跨度十五年的欢乐与泪水,导演:李·昂克里奇 Lee Unkrich,主演:汤姆·汉克斯 Tom Hanks / 蒂姆·艾,2010,美国,喜剧 动画 奇幻 冒险
人工智能,Artificial Intelligence: AI,8.6,167875,对爱的执着，可以超越一切,导演:Steven Spielberg,主演:Haley Joel Osment / Frances O'Connor / Sa,2001,美国,冒险 剧情 科幻
我是山姆,I Am Sam,8.8,87960,爱并不需要智商,导演:杰茜·尼尔森 Jessie Nelson,主演:Sean Penn / Dakota Fanning / Mi,2001,美国,剧情 家庭
喜宴, ,8.7,113441,中国家庭的喜怒哀乐忍,导演:李安,主演:赵文瑄 / 归亚蕾 / 金素梅,1993,台湾 美国,剧情 喜剧 爱情 同性 家庭
纵横四海,緃横四海,8.7,120333,香港浪漫主义警匪动作片的巅峰之作,导演:吴宇森 John Woo,主演:周润发 Yun-Fat Chow / 张国荣 Leslie Cheung,1991,香港,剧情 喜剧 动作 犯罪
雨中曲,Singin' in the Rain,8.9,79268,骨灰级歌舞片,导演:Stanley Donen / Gene Kelly,主演:Gene Kelly / Donald O'Connor / ,1952,美国,喜剧 歌舞 爱情
萤火之森,蛍火の杜へ,8.8,130359,触不到的恋人,导演:大森贵弘 Takahiro Omori,主演:佐仓绫音 / 内山昂辉 Koki Uchiyama,2011,日本,剧情 爱情 动画 奇幻
秒速5厘米,秒速5センチメートル,8.4,249819,青春就是放弃和怀念,导演:新海诚 Makoto Shinkai,主演:水桥研二 Kenji Mizuhashi / 近藤好美 ,2007,日本,动画 剧情 爱情
香水,Perfume: The Story of a Murderer,8.4,242503,一个单凭体香达到高潮的男人,导演:汤姆·提克威 Tom Tykwer,主演:本·卫肖 Ben Whishaw / 艾伦·瑞克,2006,德国 法国 西班牙 美国,剧情 犯罪 奇幻
冰川时代,Ice Age,8.4,240215,松鼠才是角儿,导演:卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,主演,2002,美国,喜剧 动画 冒险
撞车,Crash,8.6,155692,天使与魔鬼的冲撞,导演:保罗·哈吉斯 Paul Haggis,主演:桑德拉·布洛克 Sandra Bullock / ,2004,美国 德国,犯罪 剧情
浪潮,Die Welle,8.7,110936,世界离独裁只有五天,导演:丹尼斯·甘塞尔 Dennis Gansel,主演:尤尔根·沃格尔 Jürgen Vogel ,2008,德国,剧情 惊悚
碧海蓝天,Le grand bleu,8.7,99702,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由,导演:Luc Besson,主演:Jean-Marc Barr / Jean Reno / Rosanna Arquette,1988,法国 美国 意大利,剧情 爱情
小森林 夏秋篇,リトル・フォレスト 夏・秋,8.9,96313, ,导演:森淳一 Junichi Mori,主演:桥本爱 Ai Hashimoto / 三浦贵大 Takahir,2014,日本,剧情
朗读者,The Reader,8.5,250544,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫,导演:史蒂芬·戴德利 Stephen Daldry,主演:凯特·温丝莱特 Kate Winslet ,2008,美国 德国,剧情 爱情
追随,Following,9.0,66142,诺兰的牛逼来源于内心散发出的恐惧,导演:克里斯托弗·诺兰 Christopher Nolan,主演:杰里米·西奥伯德 Jeremy,1998,英国,犯罪 悬疑 惊悚
喜剧之王,喜劇之王,8.4,252700,我是一个演员,导演:周星驰 Stephen Chow / 李力持 Lik-Chi Lee,主演:周星驰 Stephen Ch,1999,香港,喜剧 剧情 爱情
哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,8.6,238725,10年的完美句点,导演:大卫·叶茨 David Yates,主演:丹尼尔·雷德克里夫 Daniel Radcliffe,2011,美国 英国,剧情 悬疑 奇幻 冒险
7号房的礼物,7번방의 선물,8.6,139737,《我是山姆》的《美丽人生》,导演:李焕庆 Hwan-kyeong Lee,主演:柳承龙 Seung-yong Ryoo / 朴信惠 Shi,2013,韩国,剧情 喜剧 家庭
可可西里, ,8.6,113324,坚硬的信仰,导演:陆川 Chuan Lu,主演:多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L,2004,中国大陆 香港,剧情
战争之王,Lord of War,8.5,153923,做一颗让别人需要你的棋子,导演:安德鲁·尼科尔 Andrew Niccol,主演:尼古拉斯·凯奇 Nicolas Cage /,2005,美国 法国,剧情 犯罪
梦之安魂曲,Requiem for a Dream,8.7,94440,一场没有春天的噩梦,导演:达伦·阿伦诺夫斯基 Darren Aronofsky,主演:艾伦·伯斯汀 Ellen Bur,2000,美国,剧情
海盗电台,The Boat That Rocked,8.6,152286,生命不止，摇滚不死,导演:理查德·柯蒂斯 Richard Curtis,主演:比尔·奈伊 Bill Nighy / 肯尼,2009,英国 德国 法国,剧情 喜剧 音乐
罗生门,羅生門,8.7,103612,人生的N种可能性,导演:黑泽明 Akira Kurosawa,主演:三船敏郎 Toshir Mifune / 千秋实 ,1950,日本,犯罪 剧情 悬疑
花样年华,花樣年華,8.4,205347,偷情本没有这样美,导演:王家卫 Kar Wai Wong,主演:梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma,2000,香港 法国,剧情 爱情
一次别离,جدایی نادر از سیمین,8.7,113686,只有有信仰的人才能说出事实真相,导演:阿斯哈·法哈蒂  Asghar Farhadi,主演:蕾拉·哈塔米 Leila Hatami /,2011,伊朗,剧情 家庭
迁徙的鸟,Le peuple migrateur,9.1,47514,最美的飞翔,导演:雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,主演:,2001,法国 德国 意大利 西班牙 瑞士,纪录片
谍影重重,The Bourne Identity,8.5,168406,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己,导演:道格·里曼 Doug Liman,主演:马特·达蒙 Matt Damon / 弗兰卡·波坦,2002,美国 德国 捷克,动作 悬疑 冒险
谍影重重2,The Bourne Supremacy,8.5,138031,谁说王家卫镜头很晃？,导演:保罗·格林格拉斯 Paul Greengrass,主演:马特·达蒙 Matt Damon / ,2004,美国 德国,动作 悬疑 冒险
荒野生存,Into the Wild,8.6,112356,出门必备：本草纲目,导演:西恩·潘 Sean Penn,主演:埃米尔·赫斯基 Emile Hirsch / 马西娅·,2007,美国,冒险 传记 剧情
心迷宫, ,8.6,121045, ,导演:忻钰坤 Yukun Xin,主演:霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ,2014,中国大陆,剧情 犯罪 悬疑
唐伯虎点秋香,唐伯虎點秋香,8.3,264179,华太师是黄霑，吴镇宇四大才子之一,导演:李力持 Lik-Chi Lee,主演:周星驰 Stephen Chow / 巩俐 Li Gong / 陈,1993,香港,喜剧 爱情 古装
地球上的星星,Taare Zameen Par,8.8,66363,天使保护事件始末,导演:阿米尔·汗 Aamir Khan / 阿莫尔·古普特 Amole Gupte,主演:达席尔,2007,印度,剧情 儿童 家庭
勇闯夺命岛,The Rock,8.5,125122,类型片的极致,导演:迈克尔·贝 Michael Bay,主演:肖恩·康纳利 Sean Connery / 尼古拉,1996,美国,动作 冒险
燕尾蝶,スワロウテイル,8.6,98095,现实与童话交相辉映的旅程,导演:岩井俊二 Shunji Iwai,主演:三上博史 / 恰拉 / 伊藤步,1996,日本,犯罪 剧情
绿里奇迹,The Green Mile,8.7,90727,天使暂时离开,导演:Frank Darabont,主演:汤姆·汉克斯 Tom Hanks / 大卫·摩斯 David M,1999,美国,犯罪 剧情 奇幻 悬疑
超能陆战队,Big Hero 6,8.6,314276, ,导演:唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,主演:斯科特,2014,美国,喜剧 动作 科幻 动画 冒险
阿飞正传,阿飛正傳,8.5,149457,王家卫是一种风格，张国荣是一个代表,导演:王家卫 Kar Wai Wong,主演:张国荣 Leslie Cheung / 张曼玉 Maggie C,1990,香港,犯罪 剧情 爱情
时空恋旅人,About Time,8.6,158272,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福,导演:理查德·柯蒂斯 Richard Curtis,主演:多姆纳尔·格利森 Domhnall Gl,2013,英国,剧情 爱情 奇幻
卡萨布兰卡,Casablanca,8.6,108023,与同名歌曲无关,导演:Michael Curtiz,主演:亨弗莱·鲍嘉 Humphrey Bogart / 英格丽·褒曼,1942,美国,剧情 爱情 战争
英国病人,The English Patient,8.4,157936,"In memory, love lives forever...",导演:安东尼·明格拉 Anthony Minghella,主演:拉尔夫·费因斯 Ralph Fien,1996,美国 英国,爱情 剧情 战争
蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,8.5,258498,诺兰就是保证,导演:克里斯托弗·诺兰 Christopher Nolan,主演:克里斯蒂安·贝尔 Christ,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚
惊魂记,Psycho,8.8,68282,故事的反转与反转，分裂电影的始祖,导演:Alfred Hitchcock,主演:Janet Leigh / Anthony Perkins / Vera Miles,1960,美国,悬疑 恐怖
恐怖游轮,Triangle,8.3,261000,不要企图在重复中寻找已经失去的爱,导演:克里斯托弗·史密斯 Christopher Smith,主演:梅利莎·乔治 Melissa ,2009,英国 澳大利亚,剧情 悬疑 惊悚
变脸,Face/Off,8.4,189714,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,导演:吴宇森 John Woo,主演:约翰·特拉沃尔塔 John Travolta / 尼古拉斯,1997,美国,动作 科幻 犯罪
魔女宅急便,魔女の宅急便,8.4,164834,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的,导演:宫崎骏 Hayao Miyazaki,主演:高山南 / 佐久间玲 / 山口胜平,1989,日本,动画 奇幻 冒险
叫我第一名,Front of the Class,8.6,95123,乐观比一切都有力量,导演:彼得·维纳 Peter Werner,主演:詹姆斯·沃克 James Wolk / 特里特·,2008,美国,剧情 传记
这个男人来自地球,The Man from Earth,8.5,149324,科幻真正的魅力不是视觉效果能取代的,导演:理查德·沙因克曼 Richard Schenkman,主演:大卫·李·史密斯 David ,2007,美国,剧情 科幻
E.T. 外星人,E.T.: The Extra-Terrestrial,8.5,132685,生病的E.T.皮肤的颜色就像柿子饼,导演:Steven Spielberg,主演:Henry Thomas / Dee Wallace / Robert MacNa,1982,美国,剧情 科幻 奇幻 冒险
再次出发之纽约遇见你,Begin Again,8.5,133598,爱我就给我看你的播放列表,导演:约翰·卡尼 John Carney,主演:凯拉·奈特莉 Keira Knightley / 马克,2013,美国,喜剧 爱情 音乐
穆赫兰道,Mulholland Dr.,8.3,200665,大卫·林奇的梦境迷宫,导演:大卫·林奇 David Lynch,主演:娜奥米·沃茨 Naomi Watts / 劳拉·哈,2001,法国 美国,剧情 悬疑 惊悚
荒蛮故事,Relatos salvajes,8.7,100196, ,导演:Damián Szifron,主演:里卡杜·达林 Ricardo Darín / 艾丽卡·里瓦,2014,阿根廷 西班牙,剧情 喜剧 犯罪
终结者2：审判日,Terminator 2: Judgment Day,8.5,122534,少见的超越首部的续集，动作片中的经典,导演:詹姆斯·卡梅隆 James Cameron,主演:阿诺·施瓦辛格 Arnold Schwarz,1991,美国 法国,动作 科幻
东京物语,東京物語,9.2,40735,东京那么大，如果有一天走失了，恐怕一辈子不能再相见,导演:小津安二郎 Yasujir Ozu,主演:笠智众 Chish Ry / 原节,1953,日本,剧情 家庭
发条橙,A Clockwork Orange,8.4,163131,我完全康复了,导演:Stanley Kubrick,主演:Malcolm McDowell / Patrick Magee / Michael,1971,英国 美国,犯罪 剧情 科幻
非常嫌疑犯,The Usual Suspects,8.6,99589,我不信仰上帝，但我敬畏上帝,导演:布莱恩·辛格 Bryan Singer,主演:史蒂芬·鲍德温 Stephen Baldwin /,1995,德国 美国,剧情 犯罪 悬疑 惊悚
达拉斯买家俱乐部,Dallas Buyers Club,8.6,140147,Jared Leto的腿比女人还美！,导演:让-马克·瓦雷 Jean-Marc Vallée,主演:马修·麦康纳 Matthew McCon,2013,美国,剧情 传记 同性
末路狂花,Thelma & Louise,8.7,86745,没有了退路，只好飞向自由,导演:雷德利·斯科特 Ridley Scott,主演:吉娜·戴维斯 Geena Davis / 苏,1991,美国 法国,犯罪 剧情 惊悚
哪吒闹海, ,8.8,67399,想你时你在闹海,导演:严定宪 Dingxian Yan / 王树忱 Shuchen Wang,主演:梁正晖 / 邱岳峰 ,1979,中国大陆,冒险 动画 奇幻
被解救的姜戈,Django Unchained,8.5,228471,热血沸腾，那个低俗、性感的无耻混蛋又来了,导演:昆汀·塔伦蒂诺 Quentin Tarantino,主演:杰米·福克斯 Jamie Foxx /,2012,美国,剧情 动作 西部 冒险
忠犬八公物语,ハチ公物語,9.0,44154,养狗三日，便会对你终其一生,导演:Seijir Kyama,主演:山本圭 Kei Yamamoto / 井川比佐志 Hisa,1987,日本,剧情
美国丽人,American Beauty,8.4,161556,每个人的内心都是深不可测的大海,导演:萨姆·门德斯 Sam Mendes,主演:凯文·史佩西 Kevin Spacey / 安妮特,1999,美国,剧情 家庭
源代码,Source Code,8.3,362007,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作,导演:邓肯·琼斯 Duncan Jones,主演:杰克·吉伦哈尔 Jake Gyllenhaal / ,2011,美国 加拿大,剧情 动作 科幻 犯罪 惊悚
牯岭街少年杀人事件,牯嶺街少年殺人事件,8.7,84680,弱者送给弱者的一刀,导演:杨德昌 Edward Yang,主演:张震 Chen Chang / 杨静怡 Lisa Yang / 张,1991,台湾,剧情 犯罪
上帝也疯狂,The Gods Must Be Crazy,8.6,84099,纯净原始的笑与感动,导演:Jamie Uys,主演:Marius Weyers / Sandra Prinsloo / N!xau,1980,博茨瓦纳 南非,喜剧
黑客帝国3：矩阵革命,The Matrix Revolutions,8.5,131870,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范,导演:Andy Wachowski / Larry Wachowski,主演:Keanu Reeves / Laurence F,2003,美国 澳大利亚,动作 科幻
新龙门客栈,新龍門客棧,8.4,157361,嬉笑怒骂，调风动月,导演:李惠民 Raymond Lee,主演:张曼玉 Maggie Cheung / 林青霞 Brigitte ,1992,香港 中国大陆,剧情 动作 武侠 古装
黄金三镖客,"Il buono, il brutto, il cattivo.",9.1,42161,最棒的西部片,导演:Sergio Leone,主演:Clint Eastwood / Eli Wallach / Lee Van Cleef,1966,意大利 西班牙 西德,冒险 西部
青蛇, ,8.3,186225,人生如此，浮生如斯谁人言，花彼岸，此生情长意短谁都是不懂爱的罢了,导演:徐克 Hark Tsui,主演:张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ,1993,香港,剧情 奇幻 古装
曾经,Once,8.3,181904,有些幸福无关爱情,导演:约翰·卡尼 John Carney,主演:格伦·汉塞德 Glen Hansard / 玛可塔,2006,爱尔兰,剧情 音乐 爱情
爱·回家,집으로...,9.1,40816,献给所有外婆的电影,导演:李廷香 Jeong-hyang Lee,主演:金艺芬 Eul-boon Kim / 俞承豪 Seung-,2002,韩国,剧情 儿童 家庭
蓝色大门,藍色大門,8.2,245265,青春的窃窃私语,导演:易智言 Chih-yen Yee,主演:桂纶镁 Lunmei Kwai / 陈柏霖 Bo-lin Che,2002,台湾 法国,剧情 爱情 同性
勇士,Warrior,8.9,76695,热血沸腾，相当完美的娱乐拳击大餐,导演:加文·欧康诺 Gavin O'Connor,主演:汤姆·哈迪 Tom Hardy / 乔尔·,2011,美国,剧情 运动 家庭
初恋这件小事,สิ่งเล็กเล็กที่เรียกว่า...รัก,8.3,400831,黑小鸭速效美白记,导演:Puttipong Promsaka Na Sakolnakorn / Wasin pokpong,主演:马里奥·,2010,泰国,喜剧 爱情
未麻的部屋,Perfect Blue,8.8,68535,好的剧本是，就算你猜到了结局也猜不到全部,导演:今敏 Satoshi Kon,主演:岩男润子 Junko Iwao / 松本梨香 Rica Matsu,1997,日本,动画 奇幻 惊悚
无耻混蛋,Inglourious Basterds,8.4,195145,昆汀同学越来越变态了，比北野武还杜琪峰,导演:Quentin Tarantino,主演:布拉德·皮特 Brad Pitt / 梅拉尼·罗兰 M,2009,美国 德国,剧情 犯罪
小森林 冬春篇,リトル・フォレスト 冬・春,8.9,82155, ,导演:森淳一 Junichi Mori,主演:桥本爱 Ai Hashimoto / 三浦贵大 Takahir,2015,日本,剧情
蝴蝶,Le Papillon,8.6,86860,我们长途跋涉寻找的东西，有可能一直就在身边,导演:菲利普·穆伊尔 Philippe Muyl,主演:米歇尔·塞罗 Michel Serrault ,2002,法国,剧情 儿童 喜剧
城市之光,City Lights,9.2,34673,永远的小人物，伟大的卓别林,导演:Charles Chaplin,主演:查理·卓别林 Charles Chaplin / 弗吉尼亚·,1931,美国,喜剧 剧情 爱情
暖暖内含光,Eternal Sunshine of the Spotless Mind,8.4,127057,恋爱是一次神经的冒险就算失去记忆，也会爱上你,导演:米歇尔·冈瑞 Michel Gondry,主演:金·凯瑞 Jim Carrey / 凯特·温,2004,美国,剧情 爱情 奇幻
麦兜故事,麥兜故事,8.5,113668,麦兜是一只很哲学的猪,导演:袁建滔 Toe Yuen,主演:李晋纬 / 林海峰 Jan Lamb / 吴君如 Sandra Ng,2001,香港,剧情 喜剧 动画
两小无猜,Jeux d'enfants,8.2,288126,"Love me, if you dare.",导演:杨·塞谬尔 Yann Samuell,主演:吉约姆·卡内 Guillaume Canet / 玛,2003,法国 比利时,喜剧 剧情 爱情
与狼共舞,Dances with Wolves,8.9,50374,充满诗意与情怀的史诗作品,导演:Kevin Costner,主演:Kevin Costner / Mary McDonnell / Graham Greene,1990,美国,冒险 剧情 西部
巴黎淘气帮,Le petit Nicolas,8.6,95754,四百击的反面,导演:Laurent Tirard,主演:马克西姆·戈达尔 Maxime Godart / 瓦莱丽·勒,2009,法国 比利时,儿童 喜剧 家庭
爆裂鼓手,Whiplash,8.6,188393, ,导演:达米安·沙泽勒 Damien Chazelle,主演:迈尔斯·特勒 Miles Teller /,2014,美国,剧情 音乐
无敌破坏王,Wreck-It Ralph,8.7,163781,迪士尼和皮克斯拿错剧本的产物,导演:瑞奇·莫尔 Rich Moore,主演:简·林奇 Jane Lynch / 约翰·C·赖利 ,2012,美国,喜剧 动画 冒险
夜访吸血鬼,Interview with the Vampire: The Vampire Chronicles,8.3,176187,弥漫淡淡血腥气的优雅,导演:尼尔·乔丹 Neil Jordan,主演:布拉德·皮特 Brad Pitt / 汤姆·克鲁,1994,美国,剧情 奇幻 惊悚
爱在暹罗,รักแห่งสยาม,8.3,201345,把爱放在心底，有爱就有希望,导演:楚克萨克瑞科 Chukiat Sakveerakul,主演:维特维斯特·海伦亚沃,2007,泰国,剧情 爱情 同性 家庭
遗愿清单,The Bucket List,8.5,106639,用剩余不多的时间，去燃烧整个生命,导演:罗伯·莱纳 Rob Reiner,主演:杰克·尼科尔森 Jack Nicholson / 摩根,2007,美国,冒险 喜剧 剧情
中央车站,Central do Brasil,8.7,69157,心灵救赎,导演:Walter Salles,主演:Fernanda Montenegro / Marília Pêra / Viní,1998,巴西 法国,剧情
偷拐抢骗,Snatch,8.5,101447,典型盖·里奇式的英国黑色幽默黑帮片,导演:盖·里奇 Guy Ritchie,主演:布拉德·皮特 Brad Pitt / 本尼西奥·德,2000,英国 美国,喜剧 犯罪
大卫·戈尔的一生,The Life of David Gale,8.7,70974,捍卫人权只是信仰，一点不妨碍其行为的残忍,导演:Alan Parker,主演:凯文·史派西 Kevin Spacey / 凯特·温丝莱特 Kat,2003,美国 德国 英国,剧情 犯罪 悬疑
国王的演讲,The King's Speech,8.3,297440,皇上无话儿,导演:汤姆·霍珀 Tom Hooper,主演:柯林·菲尔斯 Colin Firth / 杰弗里·,2010,英国 澳大利亚 美国,剧情 传记 历史
血钻,Blood Diamond,8.5,109804,每个美丽事物背后都是滴血的现实,导演:Edward Zwick,主演:Leonardo DiCaprio / Jennifer Connelly / Djimo,2006,美国 德国,剧情 惊悚 冒险
罪恶之城,Sin City,8.4,127328,权力不是来自枪和子弹，权力来自谎言,导演:弗兰克·米勒 Frank Miller / 罗伯特·罗德里格兹 Robert Rodriguez, ,2005,美国,动作 犯罪 惊悚
荒岛余生,Cast Away,8.4,113327,一个人的独角戏,导演:罗伯特·泽米吉斯 Robert Zemeckis,主演:汤姆·汉克斯 Tom Hanks / ,2000,美国,冒险 剧情
月球,Moon,8.5,122677,2009媲美《第九区》的又一部科幻神作,导演:邓肯·琼斯 Duncan Jones,主演:山姆·洛克威尔 Sam Rockwell / 凯文,2009,英国,剧情 科幻 悬疑
寿司之神,Jiro Dreams of Sushi,8.8,68526,仪式主义的狂欢，偏执狂的完胜,导演:大卫·贾柏 David Gelb,主演:小野二郎  Jiro Ono / 小野祯一 Yoshik,2011,美国,纪录片
千钧一发,Gattaca,8.7,68421,一部能引人思考的科幻励志片,导演:安德鲁·尼科尔 Andrew Niccol,主演:伊桑·霍克 Ethan Hawke / 乌玛,1997,美国,剧情 科幻
枪火,鎗火,8.6,81687,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作,导演:杜琪峰 Johnnie To,主演:吴镇宇 Francis Ng / 任达华 Simon Yam / ,1999,香港,剧情 动作 犯罪
疯狂的石头, ,8.2,261386,中国版《两杆大烟枪》,导演:宁浩 Hao Ning,主演:郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,2006,中国大陆 香港,喜剧 犯罪
我爱你,그대를 사랑합니다,9.0,45526,你要相信，这世上真的有爱存在，不管在什么年纪,导演:秋昌民 Chang-min Choo,主演:宋在河 Jae-ho Song / 李顺载 Soon-jae,2011,韩国,剧情 爱情
廊桥遗梦,The Bridges of Madison County,8.5,82535,这样确切的爱，一生只有一次,导演:Clint Eastwood,主演:Clint Eastwood / Meryl Streep / Annie Corley,1995,美国,剧情 爱情
角斗士,Gladiator,8.4,114240,罗马斗兽场的鸦雀无声，久久停留在这样的肃穆中,导演:Ridley Scott,主演:Russell Crowe / Joaquin Phoenix / Connie Nielsen,2000,英国 美国,剧情 动作 历史 冒险
导盲犬小Q,クイール,8.4,107801,宠物的意义在于化解人的孤独,导演:崔洋一 Yoichi Sai,主演:小林薰 / 椎名桔平 / 香川照之,2004,日本,剧情
假如爱有天意,클래식,8.2,199566,琼瑶阿姨在韩国的深刻版,导演:郭在容 Jae-young Kwak,主演:孙艺珍 Ye-jin Son / 曹承佑 Seung-woo,2003,韩国,剧情 爱情
不一样的天空,What's Eating Gilbert Grape,8.6,73042,生命有裂缝，阳光才照得进来,导演:莱塞·霍尔斯道姆 Lasse Hallstrm,主演:约翰尼·德普 Johnny De,1993,美国,剧情 爱情 家庭
速度与激情5,Fast Five,8.4,195530,爆米花动作电影新标杆,导演:林诣彬 Justin Lin,主演:范·迪塞尔 Vin Diesel / 保罗·沃克 Paul ,2011,美国,动作 犯罪 剧情 惊悚
我们俩, ,8.6,66366,想外婆了，有没有？！,导演:马俪文 Liwen Ma,主演:宫哲 Zhe Gong / 金雅琴 Yaqin Jin / 罗忠学 ,2005,中国大陆,剧情
